sampleid,beta_muricholic_acid,chenodeoxycholic_acid,chenodeoxycholic_acid_3_sulfate,cholic_acid,cholic_acid_3_sulfate,deoxycholic_acid,deoxycholic_acid_3_sulfate,glycochenodeoxycholic_acid,glycochenodeoxycholic_acid_3_sulfate,glycocholic_acid,glycocholic_acid_3_sulfate,glycodeoxycholic_acid,glycodeoxycholic_acid_3_sulfate,glycolithocholic_acid,glycolithocholic_acid_3_sulfate,glycoursodeoxycholic_acid,glycoursodeoxycholic_acid_3_sulfate,lithocholic_acid,lithocholic_acid_3_sulfate,omega_muricholic_acid,taurochenodeoxycholic_acid,taurocholic_acid,taurodeoxycholic_acid,taurolithocholic_acid,tauroursodeoxycholic_acid,ursodeoxycholic_acid,ursodeoxycholic_acid_3_sulfate
FMT.0189P,0,46.3725074,0,116.0971,0,0,0,14949.9583,613.2914,29872.8633,30.7388,0,0,0,62.4816,20860.655,1809.3274,0,0,0,2160.8161,4295.2291,0,0,2217.6793,4934.2805,169.721946
575D,0,828.8757,11.2194,2037.1105,0,0,0,18501.6447,1269.3647,27528.7929,105.1771,30.9518,0,0,140.584,31808.7588,5283.1866,0,0,5.9813,10150.8555,14149.7357,53.6859,10.5572,10413.3971,650.4335,169.4057226
FMT.0101L,0,75.4658296,0,12.3658,0,0,0,2190.0453,763.9693,2490.0048,30.6343,216.315,405.5114,0,80.1074,5128.3197,5381.5227,0,0,0,539.6715,1044.9881,76.7771,0,1836.69,11474.4609,149.782945
1015D,0,136.2988253,0,164.8058,0,0,0,2926.6874,179.6039,7955.1382,25.4579,0,0,0,16.2577,3760.11,736.7799,0,0,0,1513.8741,4922.0207,11.7243,0,1630.574,2827.9522,155.9769997
275F,0,14061.3591,1098.2843,42708.9754,144.1012,312.8635,163.2023,134.5458596,200.1674,522.2558,55.8058,5.1009,8.753,0,13.2645,12.9842997,27.1138856,14.2049,79.0263,137.1532,10.6481721,19.581204,0,0,0,3793.7586,147.4408914
1671G,0,1572.3941,0,4763.0449,0,12.3385,0,4071.0448,128.94,10277.1987,10.5947,0,0,0,15.2894,11416.2247,810.368,0,0,0,825.9169,2012.5829,0,0,1280.4845,1996.5807,108.0206824
514B,0,5.5104428,16.2717,135.0801,8.7806,0,0,4010.5787,1635.5097,23921.4809,636.1093,11.7234,19.1906,0,102.4164,308.1545914,3216.3829,0,0,0,2064.5083,11191.742,10.8623,0,162.7587644,0,80.5450237
172D,0,187.4904696,4363.6586,959.0703,141.4074,0,61.7466,7043.0103,5701.086,33255.3594,1395.1853,46.5218,245.1442,0,242.9443,34.860405,138.619491,0,188.5233,20.7996,159.7798814,11447.0533,0,0,0,0,81.4267561
556D,0,63.4812705,0,75.2032,0,0,0,7618.7672,170.5447,12098.5141,19.1373,13.5606,0,0,17.2902,9697.7794,906.0361,0,0,0,3082.3783,5455.6898,13.3526,0,3015.7138,6452.5198,77.5382085
2162E,0,58.0219928,0,26.1799,0,0,0,656.3729,68.4088,1778.5493,19.145,22.6286,18.0422,0,45.5387,5107.2159,2957.5859,0,0,0,80.9323718,171.9903756,5.1547,0,337.3633044,1036.4574,57.5057254
192E,0,369.0327078,0,151.661,0,0,0,3304.2409,44.7056,10574.9658,9.9765,6.1439,0,0,9.9557,2414.4908,188.8465903,0,0,0,671.6312,3524.6089,0,0,343.5844364,2594.908,45.6846638
1233N,0,62.9426905,0,273.2447,0,0,0,1535.9057,16.8715,1836.3294,0,0,0,0,9.1468,9213.566,598.9611,0,0,0,184.6355815,204.2754031,0,0,624.9125,580.4983,44.490555
FMT.0154M,0,158.1178552,0,29.7776,0,5.4907,0,0,0,0,0,0,0,0,38.7927,0,42.7297099,24.9396,23.442,0,8.299588,6.8774529,0,0,15.9663858,5714.282,29.5280332
619F,0,1924.8141,3025.0515,6310.2666,47.842,10.0442,18.2568,8.7512251,9.2006,0,0,0,0,0,0,0,0,0,138.018,19.5696,24.8076536,12.3628101,0,0,0,0,29.4130079
1805J,0,21.7132374,0,27.3646,0,0,0,617.9745,47.5938,760.3019,0,0,0,0,7.3673,4340.8306,551.6661,0,0,0,411.5994177,435.3150095,0,0,2248.3248,1880.8435,43.9569761
226E,0,3904.8617,819.5054,34514.3576,67.1459,19.3207,91.8551,557.789,2236.8647,787.2199,616.5117,0,37.0843,0,37.052,6.0584857,31.8299165,0,55.8133,121.0301,1762.1163,4829.9461,0,0,5.5687673,0,20.5248991
1657J,10.0248,343.5536421,34.1029,97.9705,0,10259.5527,0,65.0599436,0,22.3507787,0,39.5118,0,22.7454,27.3546,389.3111802,14.036696,91318.1196,10.008,33.712,16.8152073,45.3668798,76.5678,102.813,73.4417445,10700.8338,35.3454666
166E,0,0,7.4009,60.1033,0,0,0,3307.6822,479.8159,6497.8931,34.0415,5.1551,9.1402,0,23.7754,7.0980696,0,0,0,0,1045.663,2127.3064,0,0,0,0,0
1362G,0,0,0,9.5421,0,0,0,1029.7085,25.4299,1354.1201,0,21.0386,5.6232,0,11.8085,1240.4011,296.2508041,0,0,0,826.7844,1066.0415,28.3508,0,501.5602607,22.7415405,10.8973969
626E,0,3000.9512,49.6817,13917.1287,7.4141,0,0,33.9162023,260.0072,38.4484414,68.3694,0,6.1916,0,13.8633,0,0,0,5.6093,26.6782,893.6068,1426.2026,0,0,0,0,0
907C,0,7984.502,2923.3402,59318.6947,319.2998,9.1193,40.5773,162.2565895,288.4764,270.9739599,73.7015,0,0,0,0,0,0,0,101.0285,107.8841,1720.644,1856.2155,0,0,23.507195,0,16.2293389
287C,0,0,20.909,54.89,0,0,0,12923.0804,1617.0472,18645.9186,100.8946,18.4204,31.0475,0,71.7315,63.8246147,33.9396917,0,0,0,11091.7348,15004.3695,52.6596,0,54.5925687,0,0
2323K,0,366.0362795,0,93.9982,0,0,0,17246.7792,342.7551,39472.0095,57.1204,0,0,0,50.3637,25.9020461,79.2952318,0,0,0,1934.0678,4212.1833,0,0,0,0,0
FMT.0239H,0,131.4369867,96.4196,2034.1567,0,21.2695,0,107.9092359,0,39.29278165,0,5.0641,0,0,9.4896,12.5187825,0,57.0473,0,12.4656,15.8734959,15.51223135,0,0,0,570.2744,13.0890328
2182J,10.814,1037.0456,359.2503,59.0151,14.7993,32302.9178,0,13.2138552,7.495,6.01906945,0,12.1232,0,0,13.8211,34.5265708,23.4132374,42735.106,38.7054,28.7828,0,34.22645135,0,0,0,8720.4475,108.6927533
FMT.0225E,0,12953.4645,754.9734,54826.1546,62.252,8.5631,0,365.5381279,99.1236,942.7608,13.8527,0,0,0,7.2295,7.3471996,0,0,27.3565,104.7033,835.5072,686.005,0,0,7.5874321,43.5072618,9.5767218
606D,0,9.563642,0,61.6154,0,0,0,14739.0606,237.2906,11774.9292,12.3213,15.3708,5.9212,0,38.7306,51.1542188,0,0,0,0,9872.8487,9162.0152,56.2176,6.0411,19.9182994,0,0
202D,0,106.9208251,10.096,1290.4245,0,0,0,428.3203115,350.3523,862.2939,55.0375,0,0,0,25.1398,0,0,0,0,5.1943,370.844241,642.5302,0,0,0,0,0
1381E,0,1368.7889,95.6504,25681.1657,11.3359,0,0,2461.7005,1221.5658,8539.8242,225.3615,0,0,0,55.1998,38.846485,61.2543049,0,14.6175,177.6739,1796.3357,9534.1648,12.9358,0,13.7505524,0,8.7784693
1872C,0,8.3179834,0,16.1532,0,0,0,1870.1278,55.6365,3634.5871,10.4522,0,0,0,8.3917,5.5349568,15.7560489,0,0,0,119.0353817,225.2165394,0,0,0,0,0
701F,0,0,0,5.8146,0,0,0,924.2712,35.6325,1492.145,6.5841,0,0,0,8.5614,793.2175,55.9677663,0,0,0,256.287149,408.9372168,0,0,152.7722104,1498.1445,0
628R,25.8661,376.3216187,0,39.2131,0,10490.0223,0,77.8983243,0,47.17191495,0,20.8624,0,16.3845,20.7622,167.7755308,0,51687.345,289.5465,47.0312,14.1349244,11.5643582,0,26.3447,16.6408163,1080.7771,33.5369919
1136E,0,1005.6378,129.6539,374.4098,10.0738,34723.1507,333.6886,2038.0368,222.5825,377.2387327,0,2907.9144,744.5555,285.7606,5285.8087,36.4712084,10.8026327,18884.8986,523.2335,0,1212.8742,253.7144491,831.1328,670.1621,17.8259633,106.6568238,76.6183908
251B,0,103.6270237,38.4944,1560.3684,9.3992,0,0,6894.9359,3521.4503,24867.5853,799.4865,103.505,331.0744,0,325.8653,23.0637436,46.5858864,0,5.5914,13.1234,4278.3676,14914.5982,43.0232,0,8.9740185,0,0
594B,0,116.7483713,0,9.4218,0,3760.8602,16.8049,29.7753058,0,10.0264457,0,25.5548,0,0,24.0834,5.3466857,0,15641.2534,130.6845,0,7.1012727,15.585314,9.1552,0,0,30.5839106,0
123B,0,0,0,50.4332,0,0,0,881.0825,69.0353,1990.745,12.5881,43.7388,25.32,0,14.9272,14.6175248,0,0,0,0,558.5345,1335.2618,35.0053,0,6.6784635,0,0
1629D,21.1839,765.2887,84.4374,208.5998,0,10925.6238,0,46.4492208,0,20.4279921,0,29.9274,0,12.5368,9.9267,52.9447517,0,25679.1673,0,112.6273,78.8126314,56.97338095,114.0277,156.3776,211.0768161,3394.167,108.735455
1208D,NA,4289.7,2747.6,711,112.5,16763.6,1723.9,14.1,0,0,0,0,0,0,0,141.5,0,19009.7,379.5,NA,9,0,113.6,75.5,77.7,8117.1,4037
1168A,NA,61.4,6321.7,30.9,869.3,9255.7,5426.5,0,0,0,0,0,0,0,0,8.4,5.5,14468.9,504.3,NA,0,0,42.5,39,6.7,4888.5,5648.7
FMT.0080M,NA,6536.3,80.3,7530.2,11.1,1694.4,258.7,5379.2,77,10003.8,17.4,1420.6,203.5,20.9,422.4,6907.3,1115.1,231.3,477.1,NA,717,1546.5,406.4,15,585.8,12707.8,1009.4
FMT.0102G,NA,316.8,165.3,3186.4,10.2,0,6.3,22264.3,675.5,26160,56.3,60.7,16.2,0,173.1,28479.5,6180.2,0,59.8,NA,35.6,139.5,0,0,74.6,6244.7,1284.6
1245P,NA,2295.1,4900.2,233,28,0,0,469,2550.3,2970.8,680.1,0,27.1,0,127.8,5021.6,15283,0,52.8,NA,568,1269.5,0,0,491.9,7470.1,4737.1
FMT.0011B,NA,3881.6,1217,9848,19.3,244.8,1300,41,992.9,131.3,49.8,0,100.2,0,13.8,262.3,6160.4,0,132.8,NA,1779.9,840.7,44.3,0,637.2,17989.5,2698.2
1364N,NA,15934,2199.2,19557.5,103.7,6.7,0,4439.9,29.4,18,0,0,0,0,0,7846.1,648.5,8,195.6,NA,372.5,442.5,0,0,630.1,40296.3,3345.4
FMT.0187K,NA,1242.7,143.7,3153.2,71.4,14872,16.5,0,0,0,0,0,0,0,0,0,0,4972.2,6.5,NA,616.9,1064.5,716.5,144.1,34.8,632,6.3
FMT.0066K,NA,18159.5,2909.2,19165.6,88.5,886.3,528.1,274.8,256.8,250.3,17.5,9.7,5.2,0,19.9,1742.8,465.7,23,395.7,NA,5.6,0,0,0,9.7,29014.2,4417
FMT.0107P,NA,1166.3,187.1,6261.4,179.4,13588.6,48.3,0,0,7.8,0,0,0,0,0,0,0,4664.6,17.3,NA,686.9,1557.4,946.3,147,99.2,848.5,10.4
FMT.0042E,NA,14605.1,3817.6,8981.5,197.3,23,0,107.3,22.1,89.7,6.9,0,0,0,0,528.1,230.6,11.5,243.3,NA,16.1,36.6,0,0,31.6,16629.2,4069.8
1334G,NA,3475.1,3418.8,7084.4,120.9,0,0,17.9,8.6,0,0,0,0,0,0,315.9,843,8.9,184.8,NA,0,0,0,0,0,14973,4969.5
1445A,NA,8945.7,4104.6,7102.6,104.8,10.2,0,17168.2,1905.6,15748.3,367.1,42,103.8,0,181.7,15774.9,15998.2,12.1,145,NA,48.4,515.3,0,0,168.6,11223.4,6007.3
1302C,NA,6174.5,429.4,11096.6,12.4,873.2,404.9,225.3,0,294.8,0,49.6,7.3,0,0,653.4,29.5,0,219.9,NA,16.3,45.3,0,0,30.4,13265.6,1608.8
FMT.0074O,NA,10603.5,2571.6,24179.5,86.6,15.4,0,971.2,29,9140.9,153.3,0,0,0,0,3493.5,387.9,10.4,182.7,NA,15.4,169,0,0,73.1,41733.9,4184.9
FMT.0007C,NA,248.1,2807.1,66.3,74.1,9223.4,4301.7,143.9,0,33,0,20.1,0,13.5,60.2,354.6,16,24358.7,5457.3,NA,6.3,0,0,0,8.8,7513.3,4448.7
878D,NA,42.6,15.2,364.1,0,0,0,29188.1,1383.7,42363.9,257.7,46.2,9.8,0,139.7,14226.8,5733.8,8.9,0,NA,4643.9,4871.8,5.6,0,658.4,4192.7,802.6
FMT.0054H,NA,9173.1,1164.8,7668.6,38,7.6,0,129.7,278.7,226.3,45.3,0,0,0,9.9,1552.4,3857,12.4,124.5,NA,12.1,1038.3,0,0,60.3,15022.3,4076.5
FMT.0225C,NA,16000.4,6566.3,6834.6,121.4,8.5,0,884.1,50.1,413.4,44.7,0,0,0,0,1222.3,236949.8,0,268.9,NA,73,963.7,0,0,117.8,14604.9,4754.1
FMT.0137H,NA,12463.4,152.4,21084.2,10,8.1,6.1,2284.1,388.9,1494.4,49.6,0,0,0,39.9,16256.9,6218.9,9.7,45.6,NA,3476.5,2236,0,0,424.7,34817.4,1805.8
1297D,NA,36.2,0,12.5,0,0,0,4190.7,62,3474,0,37.5,0,0,27,11028.5,1432.3,0,0,NA,1329.2,985.6,10.7,0,847.6,5956.6,217.1
1561F,NA,13457.2,3807.1,13099.7,169.9,3027,3747.7,1887.4,550.2,524.5,83.8,183.3,577.7,0,137.7,16873.5,7293.6,51.1,745.6,NA,320.1,1560.8,338,0,563.4,25092.1,6074.6
1250E,NA,9192.2,5751.3,14359.4,876.9,10.4,0,2038.7,9.2,1089.3,809.4,0,8.8,0,6.7,7723.1,2510.4,6.6,153.6,NA,107.2,2069.3,0,0,241.6,24237,4052.3
1029E,NA,35.5,6.7,46.8,0,0,0,11957.5,571.1,23301.3,65.7,156.2,36.6,0,112.9,22954.7,6000.4,0,0,NA,2255.6,2338.9,50.6,0,538.7,6639.4,809
1848H,NA,11.6,0,272.9,0,0,0,26441.1,250.8,33292.8,31.5,13.6,0,0,64.5,30633.8,3067.6,0,0,NA,3120.1,2912.4,0,0,582.2,2196.1,728.2
FMT.0110J,NA,18781.4,1322.7,13583.5,16,6942,1507,3232.6,49.2,3900.6,32.8,1764.7,768.8,0,120.8,8348.6,858.2,94.9,819.2,NA,78.2,2359.1,889.9,0,198.7,28784.6,2233.5
1160M,NA,15298.1,368.7,9096.3,13.8,11.7,5.8,14021.8,509.7,17535.9,46.8,22.7,7.8,0,53.5,8364.3,3224.4,0,25.4,NA,3710.7,2361.6,6.3,0,801.8,17549.3,1055.8
1246G,NA,8.7,9.2,85,0,0,0,3030.5,592.5,7104.9,42.5,120.4,108.3,0,41.1,10175.1,6079.6,0,0,NA,480.2,1010.7,38.2,0,723,2793.1,361
882E,NA,3607,66.9,9091.6,6,18.4,0,9233.4,976.2,11704.3,156.7,35.3,29.8,0,98.3,25.3,15,0,9.1,NA,2714.4,1950.7,35.9,0,6.6,0,7.6
FMT.0063P,NA,26.9,0,33.2,0,0,0,6066.1,219.2,9987.6,37.8,0,0,0,29.3,14787.3,5378.8,0,0,NA,1066.3,1180.4,0,0,812.1,3462.2,476.6
668R,NA,9486.8,787.6,11568.2,13.8,2266.5,182.2,10016.2,347.6,13868.5,34.4,362.6,106.9,0,106.6,20184.8,3100.4,517.8,253.6,NA,53.3,381.8,23.8,0,170.1,22052.9,2269.1
1141C,NA,20.5,8.4,55.7,0,0,0,24481.7,915,13817,35.3,80,23.9,0,195.4,24153.6,9807.1,0,9.8,NA,5071.7,3502,23,9.5,301.1,1962.8,1039.2
1233I,NA,0,0,13,0,0,0,1268.7,44.1,1085.8,0,209,59.9,0,26.7,978.7,245.6,0,0,NA,142.7,208.8,27.3,0,67.7,79.1,18.4
988C,NA,4229.2,139.9,9040.5,6.2,0,0,2624.7,803.8,21961.3,123.8,5.3,0,0,48.8,9272.2,8482.5,0,0,NA,2034.5,1602.5,0,0,762.7,14408.2,1095.7
FMT.0131I,NA,4155.1,143.2,4714.5,8.8,15.7,5.3,19094.1,515.8,19078.1,41.7,52.2,7.8,0,70.8,19727,3807.5,0,17,NA,86.7,130.9,0,0,264.4,9885.5,1043.6
FMT.0023K,NA,34291,1931.3,8284.5,66.5,24278.5,4264.7,13469.9,314.7,5132.4,10.1,13128.1,1062.3,1303.8,4501.7,27834.5,1027.8,28069.1,6366.6,NA,563.6,469.4,964.5,581.8,675.9,9607.4,6435
1107H,NA,1143.8,2182.2,12805.7,44.3,195.6,4590.5,444.6,1207.7,257,92.6,53.9,773.6,0,601.8,2769.8,12841.4,0,1032.6,NA,3906.8,1491.7,492.8,10.1,337.5,4571,4525.2
FMT.0103T,NA,26.2,33.8,82.6,5.5,0,0,11322.7,1538.8,23247.5,742,8.3,16.1,0,86.5,8204.2,16939.8,0,7.1,NA,2805.8,3301.3,0,0,580.6,3186.4,1231.1
1173Q,NA,1709.2,721.4,1919.4,8.1,75.3,146.2,0,9.9,0,0,0,0,0,7.1,11,54,41.5,114.5,NA,0,0,0,0,0,8072,1692.7
1151F,NA,1255,946,2273.1,25.1,0,965.3,17565.9,1271.2,27841.3,313.6,18.5,17.3,0,73.1,21370.6,13143.5,6.6,147.5,NA,0,2176.6,0,0,20.2,8035.5,2346.1
1209I,NA,14722.1,3592.7,6459.4,133.5,2789.8,4079,605.9,0,237.1,0,106.1,7.8,0,0,1481,51.1,546,498.1,NA,172.6,97.6,33.3,0,327.9,12477.4,6317.2
1381C,NA,537.7,20.8,257.6,0,0,0,4923.3,468.8,3565.5,13.3,7.5,7.8,0,35.3,12040.2,5618.1,0,0,NA,298.5,513,0,0,598.8,6593.9,406.5
FMT.0191F,NA,4305.7,137.5,7337.7,0,105.8,108.6,278.3,1190.8,288.9,100.7,0,370.5,0,23.6,6346.7,10053.1,0,9.7,NA,3223.3,1615.7,187.9,0,622.8,12541.8,1127.1
FMT.0178I,NA,1652.8,368.5,9827.9,6.4,0,8.6,254.5,627.2,235.7,43.2,0,0,0,26.6,2723.6,4290.1,0,38.6,NA,783.6,926.4,0,0,768,12099.6,1045.4
